"name","longitude","latitude","power_gw","epoch","instrument","source_id","source","power_is_estimated","basis_column"
"Emakong Patera","-119.8","-3.4","3.105025272","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM081","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P193","-120.1","-54.7","39.228426468","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM082","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Tvashtar C (P156)","-120.3","60.9","0.635227344","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM083","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Tvashtar A","-123.5","62.8","100.666153908","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM084","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Maui Patera","-124","16.4","13.92804801","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM085","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Tvashtar D","-124.4","66.2","2.30750217","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM261","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P52","-124.6","2","1.07049015","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM086","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM262","-125.4","70.5","0.367074684","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM262","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P95","-128","-12","121.28448402","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM087","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Malik Patera","-128.9","-34.6","107.886012156","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM088","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM259","-129.5","1.3","235.61296056","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM259","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P239","-130.3","31.6","1.437619932","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM089","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
