source_id,name,longitude,latitude,observation_time,wavelength_um,spectral_radiance,spectral_radiance_unit,source
119_c9i006tr_S14_S15_L8_n_converted_spectra_Shango_Patera_-_Zal_region_v01,Shango Patera - Zal region GP18,74.8999999971,40.5000000023,1997-06-28T02:45:15.00Z,0.9709,367.074,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/119_c9i006tr_S14_S15_L8_n_converted_spectra_Shango_Patera_-_Zal_region_v01.csv
120_c9i006tr_S12_S13_L10_n_converted_spectra_Gish_Bar_Patera_v01,Gish Bar Patera GP9,89.09999999950003,15.599999999,1997-06-28T02:45:15.00Z,0.8992,91.569,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/120_c9i006tr_S12_S13_L10_n_converted_spectra_Gish_Bar_Patera_v01.csv
121_c9i006tr_S10_S11_L11_n_converted_spectra_Hi-iaka_Patera_-_Tawhaki_Patera_region_v01,Hi-iaka Patera - Tawhaki Patera region GP14,75.09999999619998,3.09999999976,1997-06-28T02:45:15.00Z,0.8731,100.6,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/121_c9i006tr_S10_S11_L11_n_converted_spectra_Hi-iaka_Patera_-_Tawhaki_Patera_region_v01.csv
122_c9i002tr_S8_S9_L25_n_converted_spectra_Culann_-_Tohil_region_v01,Culann - Tohil region GP2,161.5,19.9000000011,1997-06-28T06:58:01.00Z,0.8992,208.532,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/122_c9i002tr_S8_S9_L25_n_converted_spectra_Culann_-_Tohil_region_v01.csv
123_c9i002tr_S10_S11_L26_n_converted_spectra_Prometheus_v01,Prometheus GP20,153.0,0.500000003048,1997-06-28T06:58:01.00Z,0.9644,468.333,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/123_c9i002tr_S10_S11_L26_n_converted_spectra_Prometheus_v01.csv
124_c9i002tr_S8_S9_L29_n_converted_spectra_Malik_Patera_v01,Malik Patera GP18,128.999999999,-33.9999999998,1997-06-28T06:58:01.00Z,1.3159,33.0924,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/124_c9i002tr_S8_S9_L29_n_converted_spectra_Malik_Patera_v01.csv
125_c9i003tr_S11_S12_L6_n_converted_spectra_Loki_Patera_v01,Loki Patera,-51.20000000099998,12.6999999992,1997-06-28T18:42:46.00Z,5.2062,679.155,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/125_c9i003tr_S11_S12_L6_n_converted_spectra_Loki_Patera_v01.csv
126_c9i003tr_S10_S11_L15_n_converted_spectra_Pele_and_Pillan_v01,Pele and Pillan,-116.0,-11.9999999984,1997-06-28T18:42:46.00Z,3.8107,297.915,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/126_c9i003tr_S10_S11_L15_n_converted_spectra_Pele_and_Pillan_v01.csv
127_c9i003tr_S9_S10_L9_n_converted_spectra_Mithra_Patera_v01,Mithra Patera GP14,-93.30000000400003,-58.6000000001,1997-06-28T18:42:46.00Z,5.1006,90.1554,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/127_c9i003tr_S9_S10_L9_n_converted_spectra_Mithra_Patera_v01.csv
128_10i007tr_S12_S13_L10_n_converted_spectra_Hi-iaka_Patera_v01,Hi-iaka Patera GP14,79.80000000079997,-3.10000000009,1997-09-19T00:56:22.00Z,0.9057,93.8457,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/128_10i007tr_S12_S13_L10_n_converted_spectra_Hi-iaka_Patera_v01.csv
